Scheme Name,Ministries/Departments,Description & Benefits,Tags
The Post-Matric Scholarship For Scheduled Tribes Students,Mizoram,The scheme is to provide financial assistance to students belonging to Scheduled Tribes pursuing Post-Matriculation recognized courses in recognized institutions.,"Empowerment, Financial Assistance, Scholarship, Student Finance"
Employee Health Scheme,Andhra Pradesh,"The Employee Health Scheme (EHS) is a government-run health scheme in Andhra Pradesh, providing cashless treatment at network hospitals for government employees, pensioners, and their families under the Dr. YSR Aarogyasri Healthcare Trust.","Cashless Treatment, Government Employees, Health Coverage, Hospitalisation, Pensioners"
Internship Programme By The Ministry Of External Affairs,Ministry Of External Affairs,The Ministry of External Affairs launched the first edition of the Internship Programme in 2022. The internship policy aims to take foreign policy closer to the people. A total of 75 internships will be offered in the year 2022 in a single term of three months during April to June 2022.,Internship
Unnati Scheme,Karnataka,"Unnati, a first of its kind initiative of the Department of Social Welfare, Government of Karnataka intends to provide a comprehensive entrepreneurship platform for startups. The aim of this program is to cater to the end to end requirements of a startup i.e. from identifying the innovations",
Stipend To Law Graduates,Karnataka,"Under this scheme, the Social Welfare Department, Govt of Karnataka will give a stipend to the Law Graduates belonging to SC/ST Community residing in Karnataka. This will help them to practice law in various courts and training courses will also be organized under the guidance of senior advocates.","Karnataka, Law Graduates, SC, ST, Stipend"
Allowance To Dwarf,Haryana,The government of Haryana introduce a scheme for social empowerment to the Dwarfs on 01.11.2014.,"Dwarf, Empowerment, Financial Assistance"
Unemployment Allowance,Chhattisgarh,Chhattisgarh Berozgari Bhatta Yojana is an important initiative of Chhattisgarh Government for the unemployed. It has been announced by the Chief Minister of the state Mr. Bhupesh Baghel in his budget speech on 06-03-2023.,"Berozgari Bhatta, Financial Assistance, Unemployment"
Breed Multiplication Farm Entrepreneurship,Mizoram,At present entrepreneurs/farmers interested in taking up dairy programmes are facing difficulties in sourcing disease-free high-yielding heifers or cows and farmers are dependent on either middlemen or other farmers maintaining dairy animals for sourcing their requirement of dairy animals.,"Breed Multiplication Farms, Cattle And Buffalo Breeding, Farmers Scientist Interaction, Forconstruction Of Cattle, Heifers Of Cattle And Buffaloes"
Residential School For Blinds,Jammu and Kashmir,"The ""Residential School for Blinds"" have been established by the Social Welfare Department, Govt. of Jammu and Kashmir for the protection, welfare, and education of the Blind. The school is located at Roop Nagar, near Fire Brigade Office, Muthi, Jammu, 180013. The intake capacity is 50 inmates.","Blind, Child, Person With Disability, School, Shelter"
Meghalaya Tourism Development & Investment Promotion,Meghalaya,Meghalaya Tourism Development and Investment Promotion Scheme 2012 started on 20th Jan 2012 under the Tourism Department sponsored by the state to assist in the creation of tourism infrastructure in the form of homestays and resorts,"Financial Assistance, Homestays, Meghalaya, Resort, Tourism, Travel"
Mukhyamantri Jankalyan (Shiksha Protsahan Yojna),Madhya Pradesh,"This scheme has been launched by the Government of Madhya Pradesh. Through the Mukhyamantri Jankalyan Shiksha Protsahan Yojana, financial assistance will be provided for education to students of Madhya Pradesh.","Financial Assistance, Higher Education, Students"
Divyang Pension Yojana,Uttar Pradesh,The State Government of Uttar Pradesh has launched Divyang Pension Yojana to improve and uplift the standard of living of disabled citizens.,"Disability, Empowerment, Financial Assitance, Social Welfare"
Silpi Pension Scheme - Assam,Assam,Silpi Pension Scheme is a Welfare Scheme provided by the Government of Assam to support the Artists of Assam. Those artists and families who have made outstanding contributions in the field of Art and Culture of Assam will be given financial aid and Pension.,"Art And Culture, Artist, Divyang, Financial Assistance, Pension"
Unemployed Youth Employment Generation Programme,Tamil Nadu,"The Micro, Small and Medium Enterprises Department, Government of Tamil Nadu introduced the scheme ""Unemployed Youth Employment Generation Programme (UYEGP)"" which aims to mitigate the unemployment problems of socially and economically weaker sections of the society.","Business, Loan, MSME, Subsidy, Unemployment, Youth"
Jai Bhim Mukhyamantri Pratibha Vikas Yojana,Delhi,"The scheme “Jai Bhim Mukhyamantri Pratibha Vikas Yojana” was launched by the Department for the Welfare of SC/ST/OBC/Minorities, Government of NCT of Delhi vide Cabinet Decision No.2526 Dated 12-12-2017.","Coaching, Competitive Examination, Scheduled Castes, Stipend, Students"
AGR 4 (Farm Mechanization) Scheme For SC Farmers,Gujarat,"The scheme “AGR 4 (Farm Mechanization) Scheme for SC Farmers” was started by the Department of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat.","Agriculture, Equipment, Farmer, Financial Assistance, Mechanization, Scheduled Caste"
Bhagyalaxmi Scheme,Karnataka,The prime goal of this scheme aims to promote the birth of girl children in below poverty line(BPL) families and to raise the status of the girl child in the family in particular and society in general. Financial assistance is provided to the girl child through her mother/father or natural guardian.,"Below Poverty Line, Bhagyalaxmi Yojana, Female Children, Financial Aid"
Dr. YSR Aarogyasri Health Insurance Scheme,Andhra Pradesh,"The ""Dr. YSR Aarogyasri Health Insurance Scheme"" was launched in 2007 by the Govt. of Andhra Pradesh to provide financial aid to low-income families in Andhra Pradesh. The scheme provides free quality hospital care and equity of access to BPL families by purchase of quality medical services.","Health, Insurance"
Old Age Pension Scheme - Punjab,Punjab,Punjab State Government started a pension for old age person of the state people.,"Financial Assistance, Pension, Welfare"
"""Financial Grant for Reactivation of Mechanised Boats"" under ""Financial Assistance for Availing Subsidy Components for the Development of Marine Fisheries""",Puducherry,"The scheme ""Financial Grant for Reactivation of Mechanised Boats"" is introduced by the Govt of Puducherry with the objective of increasing marine fish production by extending financial grants for the reactivation of wooden/steel mechanized boats.","Boat, Financial Assistance, Fisheries, Fisherman, Grant"
Intellectual Property Rights (IPR) Reimbursement Scheme,Goa,“Intellectual Property Rights Reimbursement Scheme” is a part of the Startup Policy 2017. The objective of the policy is to make Goa an aspirational geographical and human resource base for startups.  The objective is to invite the best entrepreneurial minds and build a robust startup ecosystem.,"Business, Entrepreneur, IPR, Reimbursement, Startup"
Swami Vivekananda Utkrisht Chhatravriti Yojna,Himachal Pradesh,"The scheme “Swami Vivekananda Utkrisht Chhatravriti Yojna” is a Scholarship Scheme by the Dept. of Education, Govt. of Himachal Pradesh. An amount of ₹ 18,000/- per year will be given to the general category students for two successive years after matric. 2000 scholarships are awarded every year.","Education, Financial Assistance, Scholarship, School, Student"
Matru Jyothi - Financial Assistance For PwD Mothers,Kerala,"The scheme “Matru Jyothi - Financial Assistance for PwD Mothers” was launched by the Department of Social Justice, Government of Kerala.","Child, Disability, Financial Assistance, Mother, PwD"
INSPIRE Awards – MANAK (Million Minds Augmenting National Aspirations and Knowledge),Ministry Of Science And Technology,The scheme aims to motivate students in the age group of 10-15 years and studying in classes 6 to 10 to target one million original ideas/innovations rooted in science and societal applications to foster a culture of creativity and innovative thinking among school children.,"Award, DBT, Direct Benefit Transfer, Innovation, School, Student"
Financial Assistance For Cultural Activities In Performing Arts For Building Grants Including Studio Theatres,Ministry Of Culture,"The scheme “Financial Assistance for Cultural Activities in Performing Arts for Building Grants Including Studio Theatres” was launched by the Ministry of Culture, Government of India.","Arts, Culture, Financial Assistance, Grants, Studio, Theatres"
Opening And Maintenance Of Public School (Vidya Niketan) For Vimukta Jatis And Nomadic Tribes,Maharashtra,"The Government of Maharashtra has introduced a scheme ""Opening And Maintenance Of Public School (Vidya Niketan) For Vimukta Jatis And Nomadic Tribes"" to voluntary organizations to run the Public School (Vidya Niketan) on a grant-in-aid basis.","Education, Public School, Vidya Niketan, Vimukta Jatis And Nomadic Tribes"
Viswakarma Pension Scheme,Kerala,"The Scheme “Viswakarma Pension” was launched by the Backward Classes Development Department, Government of Kerala to give the pension to traditional workers of Viswakarma Communities.","Carpenters, Goldsmiths, Iron Worker, Moosari, Pension, Stone Worker, Viswakarma Community, Wood Worker"
Kala Samman Scheme,Goa,"The scheme ""Kala Samman Scheme"" grants financial assistance to eminent artists who are in indigent circumstances as a token of respect for their contribution to the field of Art and culture.","Art, Artist, Award, Culture, Financial Assistance"
Trademark Reimbursement Scheme,Goa,"“Trademark Reimbursement Scheme” is a part of the Start-up Policy 2017. For start-ups that have successfully entered the production/service delivery phase, and want to trademark their company name and logo, 50% of the cost of trade-mark registration of their company name and logo will be reimbursed.","Business, Entrepreneurship, Reimbursement, Startup, Trademark"
Educational Assistance For Children Of Victims Of Crime,Kerala,"The scheme “Educational Assistance for Children of Victims of Crime” was launched by the Department of Social Justice, Government of Kerala.","Children, Dependent, Education, Scholarship, Survivor, Victim"
CBSE Merit Scholarship Scheme For Single Girl Child,Ministry of Education,"A scholarship scheme by the Ministry of Education for meritorious Single Girl Students, who are the only child of their parents; and have passed the CBSE Class 10th Examination with 60% or more marks and are continuing their further school education of Class 11th and 12th.","Girl Child, Scholarship"
E-YUVA Scheme: BIRAC’s E-YUVA Fellows (for under graduate students),Ministry Of Science And Technology,BIRAC’s E-YUVA Fellows shall apply as a team and pursue their research work at their College/University labs and will also be allowed access to facilities at EYC and EYC Knowledge Partners as and when required.,"E-YUVA, Fellow, Research, Stipend, Student, Under Graduate"
National Solar Science Fellowship Programme,Ministry Of New and Renewable Energy,The “National Solar Science Fellowship Programme” of the Ministry of New & Renewable Energy was launched in February 2011. The aim of the National Solar Science Fellowship Programme is to provide a platform to top-quality scientists and engineers in the area of solar energy research.,"Engineer, Fellowship, Research, Scientist, Solar Science"
Award Of Scholarships To Young Artists In Different Cultural Fields,Ministry Of Culture,"The scheme “Award of Scholarships to Young Artists in Different Cultural Fields” was launched by the Ministry of Culture, Government of India.","Advanced Training, Culture, Dance, Music, Scholarship, Young Artists"
Viranarayan Singh Shram Ann Yojana,Chhattisgarh,"Chhattisgarh state Government started a scheme ""Viranarayan Singh Shram Ann Yojana"" for unorganized worker on 17 January 2018.","Food Assistance, Hot Meal, Unorganized Worker"
Nai Hetu Avashyak Upkaran Sahayata Yojana,Chhattisgarh,"Chhattisgarh State Government started a scheme ""Nai Hetu Avashyak Upkaran Sahayata Yojana"" for unorganized worker on 27 January 2018.","Business, Employment, Empowerment, Equipment"
Chief Ministergi Artistesinggi Tengbang (CMAT) - Scheme For Award To Distinguished Artistes,Manipur,"The scheme ""CMAT - Scheme for Award to Distinguished Artistes"" is a scheme by the Dept. of Art & Culture, Govt. of Manipur, to encourage and felicitate the artistes (in the field of culture) belonging to different fields for their achievements such as winning National Awards namely Padma Award, etc.","Artist, Award, Financial Assistance"
Marriage Assistance To Daughters Of Prisoners,Kerala,"The scheme “Marriage Assistance to Daughters of Prisoners” was launched by the Department of Social Justice, Government of Kerala.","BPL, Daughter, Financial Assistance, Marriage, Prisoner"
Special Incentive Allowance Scheme,Goa,"Launched in 2018, the ""Special Incentive Allowance Scheme"" is one of the ""Information Technology Policy Schemes"" by the Department of Information Technology, Government of Goa. New and Existing Units would be provided with the allowance once at the end of every three year period.","Allowance, Business, Company, Employee, Incentive"
Pre-Matric Scholarship Scheme For Minority-Uttarakhand,Uttarakhand,Uttarakhand government started a scheme Pre-Matric Scholarship for Minorities.,"Education, Financial Assistance, Student Finance, Welfare"
Goa Welfare / Pension Scheme For Seafarers,Goa,"The scheme ""Goa Welfare / Pension Scheme for Seafarers"" by the Home Department, Government of Goa, provides financial assistance in the form of a Gross Pension of ₹ 2,500/- per month to the beneficiaries. The applicant should be a retired seaman. The age of the applicant should be 60 years or above.","Financial Assistance, Pension, Retirement, Seafarer, Seaman, Senior Citizen, Social Welfare"
Guru Shishya Parampara,Meghalaya,"A scheme called ""Guru Shishya Parampara Scheme"" to preserve and promote rare and vanishing art forms on Classical or Folk/Tribal so that the young talents be nurtured to acquire skills in their chosen field of art art under the able guidance of Gurus","Culture, Dance, Financial Assistance, Tradition"
Kachara Binane Vaale Hetu Suraksha Upakaran Sahaayata Yojana,Chhattisgarh,"Chhattisgarh State Government started a scheme ""Kachara Beenane Vaale Hetu Suraksha Upakaran Sahaayata Yojana"" for unorganized worker on 19 June 2017.","Empowerment, Equipment, Gloves, Rain Coat, Shoes"
Cancer Suraksha Scheme,Kerala,The Government of Kerala launched the “Cancer Suraksha Scheme” on 1st November 2008 for children below the age of 18 who suffer from cancer and belong to such families which are too poor to afford treatment. This scheme was launched under Kerala Social Security Mission.,"BPL, Cancer, Free Treatment, Hospital, Patients"
Post-Matric Scholarship for SC students,Ministry Of Social Justice and Empowerment,"The Post-Matric Scholarship Scheme for Scheduled Caste (SC) Students is a Centrally Sponsored Scheme implemented by the Ministry of Social Justice and Empowerment, Government of India.","Education, Scholarship, Student Finance"
Salary Subsidy Scheme,Goa,"Launched in 2018, the ""Salary Subsidy Scheme"" by the Dept of Information Technology, Govt of Goa. The objective is to provide a Salary Subsidy to the eligible IT Units in Goa. The subsidy would be provided as a matching grant to the salary paid to Fresher up to ₹10,000 per Fresher per month.","Company, Employee, Fresher, Grant, Salary"
Welfare Measures for Children of Labourers,Ministry Of Commerce And Industry,"This scheme aims to provide welfare measures in the form of educational stipends, incentives for academic excellence, and financial support for higher education to the children of SC/ST labourers who demonstrate exceptional academic performance and pursue higher education after 10th grade.","DBT, Financial Assistance, Scheduled Caste, Scheduled Tribe, Scholarship, Stipend, Student"
Integrated Social Security Scheme - Pension For Transgender,Jammu and Kashmir,"ISSS (Integrated Social Security Scheme) is a State Sponsored Scheme by the Social Welfare Department of the Govt. of Jammu and Kashmir where financial assistance is provided to Old Age Persons, Widows, Divorcees, Women in Distress, Transgenders, and Physically Handicapped Persons.","Pension, Social Welfare, Transgender"
Building And Other Construction Scholarship,Odisha,The Skill Development & Technical Education Department launched the BOC Scholarship on 1 December 2022 so that the students pursuing or undertaking technical education will be able to pursue it finally without facing any kind of financial difficulties.,"Building, Construction, Scholarship"
Chikitsa Sahayata Yojana,Jharkhand,"""Chikitsa Sahayata Yojana"" is a Medical Assistance scheme by the Department of Labour, Employment, Training & Skill Development Govt of Jharkhand. The scheme provides medical assistance to all registered workers who are admitted to the hospital for five or more working days.","Construction Worker, Financial Assistance, Health, Hospitalization"
Nikshay Poshan Yojana,Ministry Of Health & Family Welfare,"Ministry of Health and Family Welfare, Government of India has announced the scheme for incentives for nutritional support to TB patients. This scheme will be called “Nikshay Poshan Yojana”.","Financial Assistance, Health, Tuberculosis"
Antayoshti Sahayata Yojana,Jharkhand,"""Antayoshti Sahayata Yojana"" is a scheme by the Department of Labour, Employment, Training & Skill Development Govt of Jharkhand. The scheme provides ₹ 10,000/- for the last rites in the case of the death of the registered beneficiary. Only the residents/domicile of the state of Jharkhand can apply.","Construction Worker, Financial Asisstance, Social Welfare"
Haritha Haram,Telangana,The objective of the Haritha Haram program is to increase the green cover of the state from the existing 24% to 33% by planting and nurturing millions of saplings every year. The program also aims to create awareness among the public about the importance of preserving and protecting the environment.,"Forest Department, Haritha Haram, Haritha Mitra Awards, Telangana Ku Haritha Haram"
Dulari Kanya,Arunachal Pradesh,"“Dulari Kanya” is a scheme for the girl child by the Govt. of Arunachal Pradesh. The objective of the scheme is to end the preference between male and female child, encouragement of institutional delivery, immunization of children, to end child marriage and overall empowerment of females.","Financial Assistance, Girl Child, Social Welfare"
Old Age And Destitute Pension,Puducherry,The Government of Puducherry introduced Old Age And Destitute Pension Scheme to extend a helping hand by way of monthly financial assistance to Old Age Persons/Widows/ Deserted Women/ Unmarried Women and Enuches so that they could defray some petty personal expenses without depending on others.,"Deserted Women, Pudecherry, Transgender, Unmarried, Widows"
Young Investigators Programme in Biotechnology,Kerala,The programme “Young Investigator’s Programme in Biotechnology (YIPB)” is a research support programme that aims to provide quick research support to young researchers to pursue their ideas in newly emerging and front-line areas of research in Biotechnology.,"Biotechnology, Fellowship, Life Science, Principal Investigator, Young Investigator, Young Scientist"
Disabled Person Pension Scheme - Punjab,Punjab,Punjab State Government started a pension for disable person of the state.,"Differently Abled, Financial Assistance, Social Welfare"
National Awards For Outstanding Services In The Field Of Prevention Of Alcoholism And Substance (Drug) Abuse: Best Panchayati Raj Or Municipal Body Working For Prevention Of Alcoholism And Substance (Drug) Abuse,Ministry Of Social Justice and Empowerment,"The Scheme of ""National Awards for Outstanding Services in the field of Prevention of Alcoholism and Substance (Drug) Abuse"" by the MoSJE, GoI shall be applicable to Institutions and Individuals working in the field of Prevention of Alcoholism and Substance (Drug) Abuse.","Alcoholism, Award, Drug Abuse, Rehabilitation"
SERB Science and Technology Award for Research,Ministry Of Science And Technology,“SERB Science and Technology Award for Research (SERB-STAR)” is a prestigious award instituted by Science and Engineering Research Board (SERB) to recognize and reward outstanding performance of Principal Investigators (PIs) of SERB Projects.,"Award, Fellowship, Principal Investigator, Research, SERB, STAR"
Design Scheme Under MSME Innovative Scheme,"Ministry Of Micro, Small and Medium Enterprises",Design scheme will help MSMEs to avail advice on all aspects of design. It helps MSMEs realize and achieve their design-related objectives. This specialist advice will be provided by experienced designers for new product development as well as enhancing existing product portfolio.,"Business & Entrepreneurship, Financial Support, Product Design, Product Development"
Supply of Tri-Cycles (CBOCWWB),Chandigarh,"Under this scheme, Tri-Cycles will be provided by the Board to the disabled registered construction workers and their dependents, once in life time.","Construction Worker, Labour, Tri-Cycle"
Reimbursement of Tuition Fees for Typewriting and Shorthand Courses for Children of Widows,Puducherry,"“Reimbursement of Tuition Fees for Typewriting and Shorthand Courses for Children of Widows” by the Dept of Women & Child Development, Govt of Pondicherry, was introduced to encourage the children of widows to pursue Typewriting and Shorthand courses and facilitate the reimbursement of course fees.","Child, Education, Reimbursement, Student, Widow"
Biju Patnaik Sports Award for Excellence in Coaching,Odisha,The award is given to the coaches who have devoted their career to imparting Coaching in any of the major sports disciplines and have coached Sportspersons achieving excellence at National and International levels.,"Coach, Coaching, Games, Sports Award"
Educational Allowances to the Children of Widows,Puducherry,"“Educational Allowances to the Children of Widows” by the Dept of Women & Child Development, Govt of Pondicherry, was introduced to provide financial assistance (₹25 to ₹125) for the education of poor widows' children up to higher secondary or equivalent.","Allowance, Education, Financial Assistance, Student, Widow"
Kaushal Vikas Yojana,Uttar Pradesh,The Uttar Pradesh Kaushal Vikas Mission (UPSDM) is a scheme launched by the Government of Uttar Pradesh to equip young people in the state with the necessary skills for employment.,"Education, Labor, Training"
Special Credit Linked Capital Subsidy Scheme (SCLCSS) for Scheduled Caste/Scheduled Tribe,"Ministry Of Micro, Small and Medium Enterprises",Special Credit Linked Capital Subsidy Scheme (SCLCSS) for Scheduled Caste / Scheduled scheme aims to facilitate capital subsidy to SC/ST MSEs for purchasing of plant & machinery/equipment through institutional finance (bank loan).,"Business & Entrepreneurship, Equipment, Financial Assistance, Plant & Machinery, Scheduled Caste, Scheduled Tribe, Subsidy"
Biju Patnaik Bravery Award,Odisha,"The “Biju Patnaik Bravery Award” was launched by the Sports & Youth Services Department, Government of Odisha to recognize spectacular acts of Bravery performed by people of Odisha.","Award, Bravery, Medal, Scroll"
SAHAKAR MITRA: NCDC’s Scheme on Internship Programme,Ministry Of Agriculture and Farmers Welfare,The programme aims at providing an opportunity to professional graduates to get experience in areas of functioning of NCDC and related aspects of cooperatives.,"Graduate, Intern, Internship, Professional, SIP, Student"
Award of Post-Matric Scholarship to Scheduled Caste Students,Puducherry,"The scheme “Award of Post-Matric Scholarship to Scheduled Caste Students” was introduced by the Adi Dravidar Welfare Dept, Government of Puducherry. The objective of the scheme is to benefit the students who are studying at the Post-matric level or Post-Secondary stage to complete their education.","Post Matric, Scheduled Caste, Scholarship, Student"
AICTE-Technical Book Writing & Translation Scheme,Ministry of Education,AICTE-Technical Book Writing & Translation scheme has been launched by the All India Council for Technical Education (AICTE) to promote the use of 'Scheduled Regional Language' in Technical Education for creating knowledge base in local language.,"Financial Support, Remuneration, Technical Book Writing, Translation"
Collaborative Research Scheme (CRS),Ministry of Education,"Collaborative Research Scheme (CRS) has been introduced by the All India Council for Technical Education to support innovation & research across institutes with collaboration among TEQIP Faculty, Regular faculty of Project institutions (focus and non-focus) & Premier institutions of the country.","Financial Assistance, Research Grant, Technical Education"
National Savings Certificates (VIII-Issue) Scheme,Ministry Of Finance,"The scheme “National Savings Certificates (VIII-Issue) Scheme” was launched by the Department of Economic Affairs, Ministry of Finance, Government of India to promote a culture of long-term savings among individuals.","Certificate, Investment, Savings"
Fruit Development Scheme,Meghalaya,The objective of the scheme is to make available to the farmers good quality planting materials in convergence mode and sale at subsidized rates.,"Agriculture, Farmer, Fruit Production, Horticultural, Planting Material, Subsidy"
Gambhir Bimari Sahayata Yojana,Uttar Pradesh,"The ""Gambhir Bimari Sahayata Yojana"" is a scheme by the government of Uttar Pradesh, India, to provide financial assistance to registered construction workers for the  treatment from the serious Illness","Construction Workers, Financial Assistance, Health, Serious Illness"
Supply of Invalid Carriages (Motorized Tri-cycles) to the Persons With Disabilities,Puducherry,"“Supply of Invalid Carriages (Motorized Tri-cycles) to the Persons With Disabilities” by the Dept of Social Welfare, Govt of Puducherry is introduced to supply invalid carriages (motorised tricycles) free of cost to the differently abled persons engaged in gainful employment or pursuing education.","Cycle, Disability, PwD, Transport, Vehicle"
Plantation Crop Development Scheme,Meghalaya,"The objectives of the scheme are to boost up the area and production of all plantation crops like Arecanut, Cashewnut, Coconut, Pineapple etc., and to provide a 50 % subsidy for planting materials and construction of a soakage tank.","Arecanut, Cashewnut, Coconut, Farmer, Horticulture, Pineapple, Plantation Crop, Subsidy"
Tea Development Scheme,Meghalaya,The objective of the scheme is to continue the experimental plantation of tea and to find the possibility of growing tea economically as well as on a commercial scale.,"Agriculture, Farmer, Financial Assistance, Horticulture, Subsidy, Tea, Tea Grower"
Zero Ticket Bus Travel Scheme for Women,Tamil Nadu,"The scheme aims to provide to eligible women/ transgender beneficiaries of Tamil Nadu under the Zero Ticket Bus Travel Scheme for Women, Free of Cost Travel in Government of Tamil Nadu Buses. No Need to Pay any Fare up to 30 Kilometers.","Bus, Empowerment, Transport, Women, Zero Ticket"
Chief Minister Breakfast Scheme,Tamil Nadu,The objective of the Tamil Nadu Chief Minister Breakfast Scheme is that Breakfast will be provided to primary school children from 1st to 5th standard studying in Government schools on all school working days.,"Breakfast, Children, Food, Primary School, Student"
Aravanaippu Illam,Puducherry,"The scheme “Aravanaippu Illam"" was launched by the Department of Social Welfare, Government of Puducherry. The objective of this scheme is to take care of persons who are lacking basic needs & proper care in society, and to maintain them in a safe living condition.","Clothes, Disability, Food, Medical, Shelter"
Krshak Prashikshan Tatha Bhraman Karyakram,Madhya Pradesh,"Under the scheme, Horticulture and Food Processing Department provide visit to the different location to make the farmers aware of the new technologies of agronomy by giving them tours.","Farm, Farmer, Farming, Financial Support, Land"
Amma Two Wheeler Scheme for Working Women,Tamil Nadu,The Amma Two-wheeler is a scheme that will empower working women in Tamil Nadu State.,"Banking, Empowerment, Loan, Two Wheeler, Women"
Grant of Stipend to Differently Abled Trainees,Puducherry,"""Grant of Stipend to Differently Abled Trainees"" by the Dept of Social Welfare, Govt of Puducherry was introduced to provide financial assistance to differently abled individuals undergoing technical or professional training. The objective is to enable them to successfully complete their training.","Disability, Financial Assistance, Stipend, Trainee, Vocational Education"
"PM-YASASVI: Top Class School Education for OBC, EBC and DNT Students",Ministry Of Social Justice and Empowerment,"The objective of the scheme is to provide premium education to the meritorious students belonging to OBC, EBC, and DNT categories by funding their education from Class 9 onwards till they complete Class 12.","DNT, EBC, Education, OBC, PM-YASASVI, School, Student, Top Class School"
Mission for Integrated Development of Horticulture Sub Scheme Horticulture Mission for North East and Himalayan Region- Meghalaya,Meghalaya,"The scheme is implemented by the Department of Agriculture & Farmers’ Welfare, Government of Meghalaya to promote holistic growth of Horticulture sector thorough promotion, extension, post-harvest management, processing and marketing.","Agriculture, Farmer, Horticulture, Horticulture, Integrated Development, Mission"
Divyang Shiksha Protsahan Yojana,Madhya Pradesh,"Under this scheme, the Madhya Pradesh government provides financial support to Disabled children of the state.","Children, Disabilities, Education, Financial"
Supply of Agriculture Machineries Scheme,Meghalaya,"The objective of the scheme is to distribute and sale of agricultural machinery such as Power Tillers, etc. to farmers at subsidized rates.","Agriculture Machineries, Farmer, Subsidy"
PM – Surya Ghar: Muft Bijli Yojana,Ministry Of New and Renewable Energy,PM Surya Ghar: Muft Bijli Yojana is a government scheme that aims to provide free electricity to households in India.,"Energy Saver, Rooftop Solar, Solar Plant"
Gopinath Munde Shetkari Apghat Suraksha Sanugrah Audhan Yojana,Maharashtra,In order to give financial support to the aggrieved family members of the ill-fated farmers the State Govt. has provided accident claim cover through Gopinath Munde Shetkari Apghat Suraksha Sanugrah Audhan Yojana in the year 2023-24.,"Assistance, Compensation, Direct Benefit Transfer, Farmer, General, Person With Disability"
Mukhyamantri Avivahita Pension Yojana,Madhya Pradesh,"Madhya Pradesh State Government started the ""Mukhyamantri Avivahita Pension Yojana"" for unmarried women of the state.","Empowerment, Financial Assistance, Unmarried"
State Disability Scholarship (Scholarship for Persons with Disabilities),Nagaland,"The scheme “State Disability Scholarship” was launched by the Department of Social Welfare, Government of Nagaland to provide financial assistance to students from Class I to Class VIII who have a disability of 40% and above.","Disability, PwD, Scholarship, Student"
National Startup Awards,Ministry Of Commerce And Industry,The National Startup Awards by Startup India aims to recognize and reward outstanding startups and ecosystem enablers building innovative products or solutions and scalable enterprises.,"Business, Empower, Self Employment, Startup"
Allowance for 100% Blind,Tripura,"The scheme  “Allowance for 100% Blind"" aims to provide a monthly pension of ₹2,000/- to the blind persons of Tripura aged 10 years and above having 100% blindness. The application should be submitted to the nearest Child Development Project Officer (CDPO).","Allowance, Blind, Disability, Financial Assistance, Pension"
Seed Farms Scheme,Meghalaya,"The objective of the scheme is the production of high-quality seeds of cereals, pulses, oilseeds, etc. and for raising Horticultural seedlings such as orange, coconut, arecanut etc. for distribution to cultivators.","Agriculture, Cultivator, Farmer, Farms, Horticultural Seedlings, Seed"
Bio Control Laboratory and Pesticides Testing Laboratory Scheme,Meghalaya,"The objective is the production of Bio Control Agents such as Trichoderma, Trichogramma, etc., and further distribution to farmers as awareness and demonstration for organic Plant Health Management in order to promote organic crop production.","Farmer, Laboratory, Pesticides, Testing, Trichoderma, Trichogramma"
"""Advanced Training in Handicrafts"" Component of the ""Development of Handicrafts"" Scheme",Puducherry,"Through the ""Advanced Training in Handicrafts"" scheme, candidates will be sponsored for training in other states where the craft is practised to its finest. The training program focuses on enhancing craft skills, enabling participants to acquire advanced techniques and proficiency in their craft.","Craft, Handicrafts, Stipend, Trainee, Training"
Student Internship Programme,Comptroller And Auditor General Of India,"The Student Internship Program, a unique learning opportunity aims to provide the Interns exposure to the functioning of the CAG of India and the Indian Audit & Accounts Department.","Information Technology, Internship, Student"
Medical Assistance (ANBOCWWB),Andaman and Nicobar Islands,"The scheme provides medical assistance to the Building & Other Construction Workers, who are registered under the A&N Islands Building and Other Construction Workers Welfare Board, and his/her dependents' family members during hospitalization due to accident or illness.","Building Worker, Construction Worker, Hospital, Labour, Medical Assistance"
"""Grant to Coir Cluster/Societies/Agency"" Component of the ""Development of Coir"" Scheme",Puducherry,"The ""Grant to Coir Cluster/Societies/Agency"" scheme aims to foster the development of coir industries. The scheme encourages unemployed rural youth and artisan individuals to participate in the manufacturing and sales of coir products. Grant of ₹2,00,000 per year is provided for five years.","Artisan, Coir, Grant, Society, Youth"
Funeral Assistance (ANBOCWWB),Andaman and Nicobar Islands,"The scheme provides financial assistance to the nominees or dependents of deceased workers who were registered under the A&N Islands Building and Other Construction Workers Welfare Board, towards their funeral expenses.","Building Worker, Construction Worker, Death, Financial Assistance, Funeral"
Death Benefit (ANBOCWWB),Andaman and Nicobar Islands,The scheme provides financial assistance to the nominees or dependents of workers engaged in Building or Other Construction Works in Andaman & Nicobar Islands in the event of their natural or accidental death.,"Accident, Building Worker, Construction Worker, Death, Financial Assistance, Labour"
